SessionID,CalculatedOptimalDifficulty,SelectedOptimalDifficultyMedian,SelectedOptimalDifficultyRange,DifficultyPreferenceDelta,DifficultyPreferenceFactor,Treatment,Condition,ConditionDifficultyMean,ConditionDifficultyMedian,TrialDurationMean,NrTrialsFalse,NrTrialsCorrect,PctTrialsCorrect
session_63-SP,6,12,0,6,OVER_PREF,SP,MATH_FLOW,6.625,6.5,16410.5625,3,13,0.8125
session_63-SP,6,12,0,6,OVER_PREF,SP,MATH_OVERLOAD,16.2857142857143,16,18559.4285714286,14,0,0
session_64-MP,4,6,3,2,OVER_PREF,MP,MATH_AUTONOMY,6.125,6,16206.3125,7,9,0.5625
session_64-MP,4,6,3,2,OVER_PREF,MP,MATH_BOREDOM,0,0,10906.1428571429,3,18,0.857142857142857
session_64-MP,4,6,3,2,OVER_PREF,MP,MATH_FLOW,4.5,4.5,13834.5555555556,5,13,0.722222222222222
session_64-MP,4,6,3,2,OVER_PREF,MP,MATH_OVERLOAD,14.8,15,27592.7,10,0,0
session_64-SP,4,1,0,-3,UNDER_PREF,SP,MATH_AUTONOMY,2.94444444444444,3,13300.1111111111,2,16,0.888888888888889
session_64-SP,4,1,0,-3,UNDER_PREF,SP,MATH_OVERLOAD,14.6363636363636,15,26560.2727272727,11,0,0
session_65-SP,5,7,0,2,OVER_PREF,SP,MATH_AUTONOMY,6,6,18700.9285714286,5,9,0.642857142857143
session_65-SP,5,7,0,2,OVER_PREF,SP,MATH_BOREDOM,0,0,9598.04347826087,0,23,1
session_65-SP,5,7,0,2,OVER_PREF,SP,MATH_FLOW,6.14285714285714,6,18895.5714285714,2,12,0.857142857142857
session_65-SP,5,7,0,2,OVER_PREF,SP,MATH_OVERLOAD,15.8,16,28001.2,10,0,0
session_65b-SP,6,6,0,0,BAL_PREF,SP,MATH_AUTONOMY,7.85,8,12488.85,3,17,0.85
session_65b-SP,6,6,0,0,BAL_PREF,SP,MATH_BOREDOM,0,0,9539.39130434783,0,23,1
session_65b-SP,6,6,0,0,BAL_PREF,SP,MATH_FLOW,7.89473684210526,8,12996.4736842105,4,15,0.789473684210526
session_65b-SP,6,6,0,0,BAL_PREF,SP,MATH_OVERLOAD,16.8,17,28000.3,10,0,0
session_66-SP,6,9,0,3,OVER_PREF,SP,MATH_AUTONOMY,8.66666666666667,9,23101.6666666667,4,8,0.666666666666667
session_66-SP,6,9,0,3,OVER_PREF,SP,MATH_BOREDOM,0,0,8763.04,0,25,1
session_66-SP,6,9,0,3,OVER_PREF,SP,MATH_FLOW,7.21428571428571,7,19121.2857142857,4,10,0.714285714285714
session_66-SP,6,9,0,3,OVER_PREF,SP,MATH_OVERLOAD,16.8,17,28001.9,10,0,0
session_67-MP,4,3,4,-1,UNDER_PREF,MP,MATH_AUTONOMY,5,5,17223.8,0,15,1
session_67-MP,4,3,4,-1,UNDER_PREF,MP,MATH_BOREDOM,0,0,10633.4545454545,0,22,1
session_67-MP,4,3,4,-1,UNDER_PREF,MP,MATH_FLOW,5.76470588235294,6,14546.0588235294,2,15,0.882352941176471
session_67-MP,4,3,4,-1,UNDER_PREF,MP,MATH_OVERLOAD,14.9,15,28002.1,9,1,0.1
session_67-SP,6,3,0,-3,UNDER_PREF,SP,MATH_AUTONOMY,5.35,5,12355.55,2,18,0.9
session_67-SP,6,3,0,-3,UNDER_PREF,SP,MATH_BOREDOM,0,0,8767,0,25,1
session_67-SP,6,3,0,-3,UNDER_PREF,SP,MATH_FLOW,6.875,7,15384.1875,4,12,0.75
session_67-SP,6,3,0,-3,UNDER_PREF,SP,MATH_OVERLOAD,16.8,17,28001.4,10,0,0
session_68-MP,1,2,3,1,OVER_PREF,MP,MATH_AUTONOMY,3,3,15732.4375,3,13,0.8125
session_68-MP,1,2,3,1,OVER_PREF,MP,MATH_BOREDOM,0,0,10890.9090909091,0,22,1
session_68-MP,1,2,3,1,OVER_PREF,MP,MATH_FLOW,2.57142857142857,2.5,18505.3571428571,2,12,0.857142857142857
session_68-MP,1,2,3,1,OVER_PREF,MP,MATH_OVERLOAD,11.8,12,28000.1,10,0,0
session_68-SP,5,5,0,0,BAL_PREF,SP,MATH_AUTONOMY,6.86666666666667,7,16952.6,1,14,0.933333333333333
session_68-SP,5,5,0,0,BAL_PREF,SP,MATH_BOREDOM,0,0,9197.29166666667,0,24,1
session_68-SP,5,5,0,0,BAL_PREF,SP,MATH_FLOW,6.66666666666667,7,17256.2666666667,3,12,0.8
session_68-SP,5,5,0,0,BAL_PREF,SP,MATH_OVERLOAD,15.8,16,28000.7,10,0,0
session_69-MP,5,12,11,7,OVER_PREF,MP,MATH_AUTONOMY,13.0833333333333,13,22242.0833333333,3,9,0.75
session_69-MP,5,12,11,7,OVER_PREF,MP,MATH_BOREDOM,0,0,9488.86956521739,0,23,1
session_69-MP,5,12,11,7,OVER_PREF,MP,MATH_FLOW,7,7,17249.2,0,15,1
session_69-MP,5,12,11,7,OVER_PREF,MP,MATH_OVERLOAD,16.6,17,27156.9,7,3,0.3
session_69-SP,4,5,0,1,OVER_PREF,SP,MATH_AUTONOMY,5.86666666666667,6,17200.0666666667,5,10,0.666666666666667
session_69-SP,4,5,0,1,OVER_PREF,SP,MATH_BOREDOM,0,0,9692,0,23,1
session_69-SP,4,5,0,1,OVER_PREF,SP,MATH_FLOW,5.53333333333333,5,18745.2,3,12,0.8
session_69-SP,4,5,0,1,OVER_PREF,SP,MATH_OVERLOAD,14.8,15,28000.8,10,0,0
session_70-SP,5,9,0,4,OVER_PREF,SP,MATH_AUTONOMY,8.83333333333333,9,23892.1666666667,3,9,0.75
session_70-SP,5,9,0,4,OVER_PREF,SP,MATH_BOREDOM,0,0,8838.96,0,25,1
session_70-SP,5,9,0,4,OVER_PREF,SP,MATH_FLOW,5.13333333333333,5,16927.1333333333,3,12,0.8
session_70-SP,5,9,0,4,OVER_PREF,SP,MATH_OVERLOAD,15.8,16,28002.6,10,0,0
session_71-SP,4,5,0,1,OVER_PREF,SP,MATH_AUTONOMY,6.69230769230769,7,20274.6153846154,0,13,1
session_71-SP,4,5,0,1,OVER_PREF,SP,MATH_BOREDOM,0,0,9888.13043478261,0,23,1
session_71-SP,4,5,0,1,OVER_PREF,SP,MATH_FLOW,5.57142857142857,6,19463.4285714286,2,12,0.857142857142857
session_71-SP,4,5,0,1,OVER_PREF,SP,MATH_OVERLOAD,14.8,15,28002.2,10,0,0
session_72-MP,3,3,3,0,BAL_PREF,MP,MATH_AUTONOMY,3.6,4,16658,3,12,0.8
session_72-MP,3,3,3,0,BAL_PREF,MP,MATH_BOREDOM,0,0,11856.25,0,20,1
session_72-MP,3,3,3,0,BAL_PREF,MP,MATH_FLOW,4.64285714285714,5,19252.6428571429,2,12,0.857142857142857
session_72-MP,3,3,3,0,BAL_PREF,MP,MATH_OVERLOAD,13.8,14,28001.6,10,0,0
session_72-SP,4,2,0,-2,UNDER_PREF,SP,MATH_AUTONOMY,4,4,12339.9,4,16,0.8
session_72-SP,4,2,0,-2,UNDER_PREF,SP,MATH_BOREDOM,0,0,10686,0,22,1
session_72-SP,4,2,0,-2,UNDER_PREF,SP,MATH_FLOW,5.375,6,16423.9375,4,12,0.75
session_72-SP,4,2,0,-2,UNDER_PREF,SP,MATH_OVERLOAD,14.6363636363636,15,25890.9090909091,11,0,0
session_73-MP,4,10,8,6,OVER_PREF,MP,MATH_AUTONOMY,9,9,23537.6666666667,7,5,0.416666666666667
session_73-MP,4,10,8,6,OVER_PREF,MP,MATH_BOREDOM,0,0,10546.2272727273,0,22,1
session_73-MP,4,10,8,6,OVER_PREF,MP,MATH_FLOW,5.38461538461539,5,20572.7692307692,2,11,0.846153846153846
session_73-MP,4,10,8,6,OVER_PREF,MP,MATH_OVERLOAD,14.9,15,27661.6,9,1,0.1
session_73-SP,3,2,0,-1,UNDER_PREF,SP,MATH_AUTONOMY,3.61538461538462,4,20069.7692307692,1,12,0.923076923076923
session_73-SP,3,2,0,-1,UNDER_PREF,SP,MATH_BOREDOM,0,0,9577.5652173913,0,23,1
session_73-SP,3,2,0,-1,UNDER_PREF,SP,MATH_FLOW,3.82352941176471,4,14663.2352941176,3,14,0.823529411764706
session_73-SP,3,2,0,-1,UNDER_PREF,SP,MATH_OVERLOAD,13.8,14,28003.7,10,0,0
session_74-MP,5,3,8,-2,UNDER_PREF,MP,MATH_AUTONOMY,5.1875,5,16676,1,15,0.9375
session_74-MP,5,3,8,-2,UNDER_PREF,MP,MATH_BOREDOM,0,0,10515.6818181818,0,22,1
session_74-MP,5,3,8,-2,UNDER_PREF,MP,MATH_FLOW,6.28571428571429,6,18894.0714285714,2,12,0.857142857142857
session_74-MP,5,3,8,-2,UNDER_PREF,MP,MATH_OVERLOAD,16.1,16,28008.8,9,1,0.1
session_75-MP,5,8,11,3,OVER_PREF,MP,MATH_AUTONOMY,9.5,9.5,22732.1666666667,2,10,0.833333333333333
session_75-MP,5,8,11,3,OVER_PREF,MP,MATH_BOREDOM,0,0,13140.5263157895,0,19,1
session_75-MP,5,8,11,3,OVER_PREF,MP,MATH_FLOW,6.53846153846154,7,20118.6153846154,2,11,0.846153846153846
session_75-MP,5,8,11,3,OVER_PREF,MP,MATH_OVERLOAD,15.8,16,28003.7,10,0,0
session_75-SP,4,3,0,-1,UNDER_PREF,SP,MATH_AUTONOMY,5,5,13954.1666666667,4,14,0.777777777777778
session_75-SP,4,3,0,-1,UNDER_PREF,SP,MATH_BOREDOM,0,0,10630.1818181818,0,22,1
session_75-SP,4,3,0,-1,UNDER_PREF,SP,MATH_FLOW,5.14285714285714,5,18561.5714285714,2,12,0.857142857142857
session_75-SP,4,3,0,-1,UNDER_PREF,SP,MATH_OVERLOAD,14.2,14,17111.9333333333,15,0,0
session_76-MP,4,7,6,3,OVER_PREF,MP,MATH_AUTONOMY,6.76923076923077,7,20189.3846153846,3,10,0.769230769230769
session_76-MP,4,7,6,3,OVER_PREF,MP,MATH_BOREDOM,0,0,9953.73913043478,0,23,1
session_76-MP,4,7,6,3,OVER_PREF,MP,MATH_FLOW,5.85714285714286,6,18756.2142857143,0,14,1
session_76-MP,4,7,6,3,OVER_PREF,MP,MATH_OVERLOAD,15.5,15.5,27311.2,8,2,0.2
session_76-SP,5,10,0,5,OVER_PREF,SP,MATH_AUTONOMY,9.8,10,18400.0666666667,3,12,0.8
session_76-SP,5,10,0,5,OVER_PREF,SP,MATH_BOREDOM,0,0,10186.3181818182,0,22,1
session_76-SP,5,10,0,5,OVER_PREF,SP,MATH_FLOW,6.16666666666667,6,13745.0555555556,3,15,0.833333333333333
session_76-SP,5,10,0,5,OVER_PREF,SP,MATH_OVERLOAD,15.5,15.5,23946.5833333333,11,1,0.0833333333333333
session_77-MP,2,5,14,3,OVER_PREF,MP,MATH_AUTONOMY,6.5,6.5,22313.1666666667,2,10,0.833333333333333
session_77-MP,2,5,14,3,OVER_PREF,MP,MATH_BOREDOM,0,0,17021.2,0,15,1
session_77-MP,2,5,14,3,OVER_PREF,MP,MATH_FLOW,3.64285714285714,3.5,19560.5,1,13,0.928571428571429
session_77-MP,2,5,14,3,OVER_PREF,MP,MATH_OVERLOAD,13.6,14,27192.6,8,2,0.2
session_77-SP,5,3,0,-2,UNDER_PREF,SP,MATH_AUTONOMY,4.54545454545455,4,10725.1818181818,2,20,0.909090909090909
session_77-SP,5,3,0,-2,UNDER_PREF,SP,MATH_BOREDOM,0,0,9595.26086956522,0,23,1
session_77-SP,5,3,0,-2,UNDER_PREF,SP,MATH_FLOW,6.55555555555556,6.5,13451.4444444444,3,15,0.833333333333333
session_77-SP,5,3,0,-2,UNDER_PREF,SP,MATH_OVERLOAD,15.8,16,28003.5,10,0,0
session_78-MP,4,3,5,-1,UNDER_PREF,MP,MATH_AUTONOMY,4.76470588235294,5,14992.7058823529,2,15,0.882352941176471
session_78-MP,4,3,5,-1,UNDER_PREF,MP,MATH_BOREDOM,0,0,10371.8181818182,0,22,1
session_78-MP,4,3,5,-1,UNDER_PREF,MP,MATH_FLOW,5.2,5,16664.7333333333,3,12,0.8
session_78-MP,4,3,5,-1,UNDER_PREF,MP,MATH_OVERLOAD,14.8,15,27935,10,0,0
session_79-MP,3,9,14,6,OVER_PREF,MP,MATH_AUTONOMY,7.8,8,17081.5333333333,7,8,0.533333333333333
session_79-MP,3,9,14,6,OVER_PREF,MP,MATH_BOREDOM,0,0,16667.2,1,14,0.933333333333333
session_79-MP,3,9,14,6,OVER_PREF,MP,MATH_FLOW,2.76470588235294,3,14456.2352941176,6,11,0.647058823529412
session_79-MP,3,9,14,6,OVER_PREF,MP,MATH_OVERLOAD,13.9090909090909,14,26641.6363636364,8,3,0.272727272727273
session_79-SP,5,10,0,5,OVER_PREF,SP,MATH_AUTONOMY,11.4166666666667,11.5,24007.0833333333,2,10,0.833333333333333
session_79-SP,5,10,0,5,OVER_PREF,SP,MATH_BOREDOM,0,0,9368.75,0,24,1
session_79-SP,5,10,0,5,OVER_PREF,SP,MATH_FLOW,6.1875,6.5,16171.125,3,13,0.8125
session_79-SP,5,10,0,5,OVER_PREF,SP,MATH_OVERLOAD,16.7,17,27356.7,7,3,0.3
session_80-MP,4,5,8,1,OVER_PREF,MP,MATH_AUTONOMY,6.53846153846154,7,19915.8461538462,3,10,0.769230769230769
session_80-MP,4,5,8,1,OVER_PREF,MP,MATH_BOREDOM,0,0,9518,0,23,1
session_80-MP,4,5,8,1,OVER_PREF,MP,MATH_FLOW,4.88235294117647,5,15322.4705882353,6,11,0.647058823529412
session_80-MP,4,5,8,1,OVER_PREF,MP,MATH_OVERLOAD,14.8,15,28014,10,0,0
session_80-SP,4,9,0,5,OVER_PREF,SP,MATH_AUTONOMY,7.90909090909091,8,24837.4545454545,6,5,0.454545454545455
session_80-SP,4,9,0,5,OVER_PREF,SP,MATH_BOREDOM,0,0,10077.6086956522,0,23,1
session_80-SP,4,9,0,5,OVER_PREF,SP,MATH_FLOW,3.57142857142857,4,19420.0714285714,4,10,0.714285714285714
session_80-SP,4,9,0,5,OVER_PREF,SP,MATH_OVERLOAD,14.8,15,28001.2,10,0,0
session_81-MP,1,1,19,0,BAL_PREF,MP,MATH_AUTONOMY,1.07142857142857,1,18248,7,7,0.5
session_81-MP,1,1,19,0,BAL_PREF,MP,MATH_BOREDOM,0,0,12469.6,6,14,0.7
session_81-MP,1,1,19,0,BAL_PREF,MP,MATH_FLOW,1,1,21849.6153846154,10,3,0.230769230769231
session_81-MP,1,1,19,0,BAL_PREF,MP,MATH_OVERLOAD,11.8,12,28007.7,10,0,0
session_81-SP,5,6,0,1,OVER_PREF,SP,MATH_AUTONOMY,7.125,7,15988.0625,4,12,0.75
session_81-SP,5,6,0,1,OVER_PREF,SP,MATH_BOREDOM,0,0,8946.29166666667,0,24,1
session_81-SP,5,6,0,1,OVER_PREF,SP,MATH_FLOW,5.94444444444445,6,13635.8888888889,5,13,0.722222222222222
session_81-SP,5,6,0,1,OVER_PREF,SP,MATH_OVERLOAD,15.8,16,27908.6,10,0,0
session_82-MP,5,10,5,5,OVER_PREF,MP,MATH_AUTONOMY,11.1538461538462,11,21715,2,11,0.846153846153846
session_82-MP,5,10,5,5,OVER_PREF,MP,MATH_BOREDOM,0,0,9592.82608695652,0,23,1
session_82-MP,5,10,5,5,OVER_PREF,MP,MATH_FLOW,6.5,6.5,15577.3125,5,11,0.6875
session_82-MP,5,10,5,5,OVER_PREF,MP,MATH_OVERLOAD,15.9,16,27808.6,9,1,0.1
session_82-SP,4,5,0,1,OVER_PREF,SP,MATH_AUTONOMY,7.0625,7,15674.875,2,14,0.875
session_82-SP,4,5,0,1,OVER_PREF,SP,MATH_BOREDOM,0,0,9010.20833333333,0,24,1
session_82-SP,4,5,0,1,OVER_PREF,SP,MATH_FLOW,6.42105263157895,7,13600.1052631579,2,17,0.894736842105263
session_82-SP,4,5,0,1,OVER_PREF,SP,MATH_OVERLOAD,14.8,15,28001.9,10,0,0
session_83-MP,4,2,3,-2,UNDER_PREF,MP,MATH_AUTONOMY,4,4,16848.3333333333,0,15,1
session_83-MP,4,2,3,-2,UNDER_PREF,MP,MATH_BOREDOM,0,0,12938.5789473684,0,19,1
session_83-MP,4,2,3,-2,UNDER_PREF,MP,MATH_FLOW,5.78571428571429,6,20286.7857142857,2,12,0.857142857142857
session_83-MP,4,2,3,-2,UNDER_PREF,MP,MATH_OVERLOAD,14.8,15,28006.7,10,0,0
session_83-SP,5,12,0,7,OVER_PREF,SP,MATH_AUTONOMY,12.9166666666667,13,22123.9166666667,5,7,0.583333333333333
session_83-SP,5,12,0,7,OVER_PREF,SP,MATH_BOREDOM,0,0,11104.8571428571,0,21,1
session_83-SP,5,12,0,7,OVER_PREF,SP,MATH_FLOW,7.17647058823529,7,14236.4117647059,3,14,0.823529411764706
session_83-SP,5,12,0,7,OVER_PREF,SP,MATH_OVERLOAD,15.6363636363636,16,27032.9090909091,11,0,0
session_84-MP,4,6,10,2,OVER_PREF,MP,MATH_AUTONOMY,7.78571428571429,8,19433.8571428571,1,13,0.928571428571429
session_84-MP,4,6,10,2,OVER_PREF,MP,MATH_BOREDOM,0,0,10555.8636363636,0,22,1
session_84-MP,4,6,10,2,OVER_PREF,MP,MATH_FLOW,5.85714285714286,6,19702.5,0,14,1
session_84-MP,4,6,10,2,OVER_PREF,MP,MATH_OVERLOAD,15.3,15,27672.8,8,2,0.2
session_84-SP,4,7,0,3,OVER_PREF,SP,MATH_AUTONOMY,7.06666666666667,7,16904.7333333333,4,11,0.733333333333333
session_84-SP,4,7,0,3,OVER_PREF,SP,MATH_BOREDOM,0,0,9247.125,0,24,1
session_84-SP,4,7,0,3,OVER_PREF,SP,MATH_FLOW,4.55,4,11880.5,4,16,0.8
session_84-SP,4,7,0,3,OVER_PREF,SP,MATH_OVERLOAD,14.8,15,28002.7,10,0,0
session_85-MP,5,3,5,-2,UNDER_PREF,MP,MATH_AUTONOMY,5.0625,5,15799.125,2,14,0.875
session_85-MP,5,3,5,-2,UNDER_PREF,MP,MATH_BOREDOM,0,0,10897.9523809524,2,19,0.904761904761905
session_85-MP,5,3,5,-2,UNDER_PREF,MP,MATH_FLOW,4.11764705882353,4,14243.7647058824,5,12,0.705882352941177
session_85-MP,5,3,5,-2,UNDER_PREF,MP,MATH_OVERLOAD,15.8,16,27930.3,10,0,0
session_85-SP,4,9,0,5,OVER_PREF,SP,MATH_AUTONOMY,9,9,23754.75,5,7,0.583333333333333
session_85-SP,4,9,0,5,OVER_PREF,SP,MATH_BOREDOM,0,0,9229.75,1,23,0.958333333333333
session_85-SP,4,9,0,5,OVER_PREF,SP,MATH_FLOW,6.23529411764706,6,15151.9411764706,1,16,0.941176470588235
session_85-SP,4,9,0,5,OVER_PREF,SP,MATH_OVERLOAD,14.8,15,28002.2,10,0,0
session_86-MP,2,1,0,-1,UNDER_PREF,MP,MATH_AUTONOMY,2.75,3,15459.3125,2,14,0.875
session_86-MP,2,1,0,-1,UNDER_PREF,MP,MATH_BOREDOM,0,0,12049.5,0,20,1
session_86-MP,2,1,0,-1,UNDER_PREF,MP,MATH_FLOW,3.8,4,18254.2666666667,1,14,0.933333333333333
session_86-MP,2,1,0,-1,UNDER_PREF,MP,MATH_OVERLOAD,12.8,13,27916.7,10,0,0
session_86-SP,6,11,0,5,OVER_PREF,SP,MATH_AUTONOMY,10.1333333333333,10,16752.5333333333,8,7,0.466666666666667
session_86-SP,6,11,0,5,OVER_PREF,SP,MATH_BOREDOM,0,0,9603.4347826087,0,23,1
session_86-SP,6,11,0,5,OVER_PREF,SP,MATH_FLOW,7,7,13107.7894736842,6,13,0.68421052631579
session_86-SP,6,11,0,5,OVER_PREF,SP,MATH_OVERLOAD,16.125,16,15921.0625,16,0,0
